순번,연구개발사업한글명,연구개발사업시작일자,연구개발사업종료일자,연구개발사업구분코드,과제단계코드,주관기관명,발주기관명,연구개발사업한글키워드값,연구개발사업영문키워드값,연구개발사업개요내용,연구개발사업영문명,연구개발사업관리기관명
70,국방표준종합시스템 고도화를 위한 디지털 모델(3D) 통합관리체계 연구,2013-09-01,2014-08-31,민군규격표준화사업,해당없음,㈜부품DB,국방과학연구소,"국방표준종합시스템, 고도화, 관리","KDSIS,  Advanced, Management","3D모델 표준화 주요항목 도출 및 관련 표준 연구, 무기체계 전수명주기관리를 위한 표준프레임워크 개발 및 제도 연구, 현행 KD냔 내 오류 데이터 정비방안 및 개선방안 도출",Research on Integrated Management System for Digital Model(3D) Toward Advanced KDSIS,국방과학연구소
71,주요부품의 표준화를 통한 상호운용성 강화 방안 연구,2010-11-01,2011-08-31,민군규격표준화사업,해당없음,충남대학교,국방과학연구소,상호운용성 강화,interoperability enhancement,"부품 상호운용성 현황, 제도 조사, 적용가능품목 조사, 제도화방안 및 적용효과 분석",A Study on System interoperability enhancement by principal parts and process standardization,국방과학연구소
72,비무기체계 표준품목의 상용전환 연구 Ⅰ,1999-08-01,2000-07-31,민군규격표준화사업,해당없음,한국국방연구원,국방과학연구소,"비무기체계, 상용전환","Non-weapone system, Conversion to Commercial Item",비무기체계 표준품목으로 지정되어있는 국방조달 품목을 상용품목으로 전환할 수 있는 가능성 분석 및 구체적 전환방안 도출,A Study on the Conversion to Commercial Item from Standardized Item in Non-Weapon Systems,국방과학연구소
73,비무기체계 표준품목의 상용전환 연구 Ⅱ,2000-08-01,2001-06-30,민군규격표준화사업,해당없음,한국국방연구원,국방과학연구소,"비무기체계, 상용전환","Non-weapone system, Conversion to Commercial Item",비무기체계 표준품목으로 지정되어있는 국방조달 품목을 상용품목으로 전환할 수 있는 가능성 분석 및 구체적 전환방안 도출,A Study on the Conversion to Commercial Item from Standardized Item in Non-Weapon Systems,국방과학연구소
74,비무기체계 표준품목의 상용전환 연구 Ⅲ,2001-08-01,2002-07-31,민군규격표준화사업,해당없음,한국국방연구원,국방과학연구소,"비무기체계, 상용전환","Non-weapone system, Conversion to Commercial Item",비무기체계 표준품목으로 지정되어있는 국방조달 품목을 상용품목으로 전환할 수 있는 가능성 분석 및 구체적 전환방안 도출,A Study on the Conversion to Commercial Item from Standardized Item in Non-Weapon Systems,국방과학연구소
75,비무기체계 표준품목의 상용전환 연구 Ⅳ,2002-08-01,2003-07-31,민군규격표준화사업,해당없음,한국국방연구원,국방과학연구소,"비무기체계, 상용전환","Non-weapone system, Conversion to Commercial Item",비무기체계 표준품목으로 지정되어있는 국방조달 품목을 상용품목으로 전환할 수 있는 가능성 분석 및 구체적 전환방안 도출,A Study on the Conversion to Commercial Item from Standardized Item in Non-Weapon Systems,국방과학연구소
76,군수품 상용전환 연구 Ⅰ,2009-09-01,2010-08-31,민군규격표준화사업,해당없음,한국국방연구원,국방과학연구소,"비무기체계, 상용전환","Non-weapone system, Conversion to Commercial Item",비무기체계 표준품목으로 지정되어있는 국방조달 품목을 상용품목으로 전환할 수 있는 가능성 분석 및 구체적 전환방안 도출,A Study on the CommercialConversion of War Materiel,국방과학연구소
77,군수품 상용전환 연구 Ⅱ,2010-11-01,2011-08-31,민군규격표준화사업,해당없음,한국국방연구원,국방과학연구소,"비무기체계, 상용전환","Non-weapone system, Conversion to Commercial Item",비무기체계 표준품목으로 지정되어있는 국방조달 품목을 상용품목으로 전환할 수 있는 가능성 분석 및 구체적 전환방안 도출,A Study on the CommercialConversion of War Materiel,국방과학연구소
78,비무기체계 표준부품의 상용전환 연구 Ⅵ,2008-09-01,2009-08-31,민군규격표준화사업,해당없음,"한국국방연구원, 한국조달연구원",국방과학연구소,"비무기체계, 상용전환","Non-weapone system, Conversion to Commercial Item",비무기체계 표준품목으로 지정되어있는 국방조달 품목을 상용품목으로 전환할 수 있는 가능성 분석 및 구체적 전환방안 도출,A Study onf the Conversion to Commercial Item from Standardized Item in Non-Weapon Systems,국방과학연구소
79,수공구류 규격 통일화 연구 Ⅰ,1999-08-01,2000-07-31,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"수공구류, 규격통일화","Hand tools, Unifying Specifications","수공구류 규격 조사 및 분석, 국방규격-민수규격 비교 검토, 규격 통일화(안) 작성",A Study on Unifying Specifications for Hand Tools,국방과학연구소
80,수공구류 규격 통일화 연구 Ⅱ,2000-08-01,2001-06-30,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"수공구류, 규격통일화","Hand tools, Unifying Specifications","수공구류 규격 조사 및 분석, 국방규격-민수규격 비교 검토, 규격 통일화(안) 작성",A Study on Unifying Specifications for Hand Tools,국방과학연구소
81,함정탑재장비의 규격통일 및 민수장비의 통합방안 연구 Ⅰ,2000-08-01,2001-06-30,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"함정탑재장비, 통합","Vessel Equipments, Unifying Specifications",함정장비의 국방규격 및 민간규격 통일화 방안 도출,A Study on Standardizing and Unifying Specification for the Naval Ship and the Commercial Vessel Equipments,국방과학연구소
82,수공구류 규격 통일화 연구 Ⅲ,2001-08-01,2002-07-31,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"수공구류, 규격통일화","Hand tools, Unifying Specifications","수공구류 규격 조사 및 분석, 국방규격-민수규격 비교 검토, 규격 통일화(안) 작성",A Study on Unifying Specifications for Hand Tools,국방과학연구소
83,함정탑재장비의 규격통일 및 민수장비의 통합방안 연구 Ⅱ,2001-08-01,2002-07-31,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"함정탑재장비, 통합","Vessel Equipments, Unifying Specifications",함정장비의 국방규격 및 민간규격 통일화 방안 도출,A Study on Standardizing and Unifying Specification for the Naval Ship and the Commercial Vessel Equipments,국방과학연구소
84,함정탑재장비의 규격통일 및 민수장비의 통합방안 연구 Ⅲ,2002-08-01,2003-07-31,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"함정탑재장비, 통합","Vessel Equipments, Unifying Specifications",함정장비의 국방규격 및 민간규격 통일화 방안 도출,A Study on Standardizing and Unifying Specification for the Naval Ship and the Commercial Vessel Equipments,국방과학연구소
85,함정탑재장비의 규격통일 및 민수장비의 통합방안 연구 Ⅳ,2003-08-01,2004-07-31,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"함정탑재장비, 통합","Vessel Equipments, Unifying Specifications",함정장비의 국방규격 및 민간규격 통일화 방안 도출,A Study on Standardizing and Unifying Specification for the Naval Ship and the Commercial Vessel Equipments,국방과학연구소
86,베어링 규격 표준화 및 민군통합 관리방안 연구 Ⅰ,2012-09-01,2013-08-31,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"베어링, 규격 표준화","Bearing, Standardizing specifications","군수체계장비 운용조건 자료조사 및 검토 및 DB구축, 베어링 도면 규격 양식 표준화, 호환가능 상용규격 조사",A Study on Bearing Standard Unification and Military & Commercial Integrated Management,국방과학연구소
87,베어링 규격 표준화 및 민군통합 관리방안 연구 Ⅱ,2013-09-01,2014-08-31,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"베어링, 규격 표준화","Bearing, Standardizing specifications","군수체계장비 운용조건 자료조사 및 검토 및 DB구축, 베어링 도면 규격 양식 표준화, 호환가능 상용규격 조사",A Study on Bearing Standard Unification and Military & Commercial Integrated Management,국방과학연구소
88,베어링 규격 표준화 및 민군통합 관리방안 연구 Ⅲ,2014-09-01,2015-08-31,민군규격표준화사업,해당없음,한국기계연구원,국방과학연구소,"베어링, 규격 표준화","Bearing, Standardizing specifications","군수체계장비 운용조건 자료조사 및 검토 및 DB구축, 베어링 도면 규격 양식 표준화, 호환가능 상용규격 조사",A Study on Bearing Standard Unification and Military & Commercial Integrated Management,국방과학연구소
89,국방규격 이력 관리를 통한 국방규격서 총람 발행 및 민군표준화사업 후속 연구 Ⅰ,2014-09-01,2015-08-31,민군규격표준화사업,해당없음,한국기계전기전자시험연구원,국방과학연구소,"국방규격, 총람, 후속조치"," Korean defense standards catalogue, KDS, Followup",국방규격서 총람발행 및 민군규격표준화사업 2단계 후속조치 활용도 향상 방안 연구,Studies on issuing Korean defense standards catalogue by history management and following research the result of Civil-Defense Project,국방과학연구소
90,국방규격 이력 관리를 통한 국방규격서 총람 발행 및 민군표준화사업 후속 연구 Ⅱ,2015-09-01,2016-08-31,민군규격표준화사업,해당없음,한국기계전기전자시험연구원,국방과학연구소,"국방규격, 총람, 후속조치"," Korean defense standards catalogue, KDS, Followup",국방규격서 총람발행 및 민군규격표준화사업 2단계 후속조치 활용도 향상 방안 연구,Studies on issuing Korean defense standards catalogue by history management and following research the result of Civil-Defense Project,국방기술품질원
